"{{-0.1881712367799165, 1.2147149867780545}, {-0.30357354466997877, 1.1819492084706242}, {-0.30785934886885863, 1.1901249018397522}}","{-0.4072229621892461, 0.608427386273151, -0.6811648660189675}"
"{{-0.30785934886885863, 1.1901249018397522}, {-0.18993125937426633, 1.2236080419523874}, {-0.1881712367799165, 1.2147149867780545}}","{-0.4072086871922175, 0.6084012330957812, -0.6811967591252353}"
"{{-0.30357354466997877, 1.1819492084706242}, {-0.3952272306838503, 1.1329901780918752}, {-0.4015188108279065, 1.140093928170958}}","{-0.608474949004376, 0.4072492430762758, -0.6811066659840601}"
"{{-0.4015188108279065, 1.140093928170958}, {-0.30785934886885863, 1.1901249018397522}, {-0.30357354466997877, 1.1819492084706242}}","{-0.6084333545893131, 0.40721560404081714, -0.6811639339020142}"
"{{-0.3952272306838503, 1.1329901780918752}, {-0.4514112494224614, 1.0724631030864908}, {-0.4589326274780409, 1.078242063665344}}","{-0.71962688264637, 0.1420883116165026, -0.6796676110236821}"
"{{-0.4589326274780409, 1.078242063665344}, {-0.4015188108279065, 1.140093928170958}, {-0.3952272306838503, 1.1329901780918752}}","{-0.7196311664479368, 0.14208954881456667, -0.6796628166925527}"
"{{-0.05971138041910461, 1.2358150580066418}, {-0.18993125937426633, 1.2236080419523874}, {-0.19042216985277277, 1.2218003564429167}}","{0.09077976696772803, -0.45974913101047377, -0.8833967231342887}"
"{{-0.19042216985277277, 1.2218003564429167}, {-0.05664527502748805, 1.2343407749784847}, {-0.05971138041910461, 1.2358150580066418}}","{0.09078002873588435, -0.45975191375712904, -0.8833952479945597}"
"{{-0.18993125937426633, 1.2236080419523874}, {-0.30785934886885863, 1.1901249018397522}, {-0.31157069920364483, 1.1874029684362357}}","{0.2598487860163121, -0.388234158069768, -0.8841678838963262}"
"{{-0.31157069920364483, 1.1874029684362357}, {-0.19042216985277277, 1.2218003564429167}, {-0.18993125937426633, 1.2236080419523874}}","{0.2598528970919751, -0.388241984197984, -0.8841632392148635}"
