"{-0.3828168936848231, 1.7082533869930934}","{-0.29818030044997423, 1.6516065939355533}","{-0.2892603505162178, 1.7279540528989263}"
"{-0.7116912132694645, 1.4298991921069564}","{-0.693474297562022, 1.5221592669383475}","{-0.7333597570078083, 1.5669700007007046}"
"{-0.7364415114454529, 2.1210800543555783}","{-0.6006141279458246, 2.1478997274713394}","{-0.6475011715724324, 2.2831684498579135}"
"{-0.8463148569412223, 2.047543112832871}","{-0.7364415114454529, 2.1210800543555783}","{-0.781212591631533, 2.256767398963512}"
"{-0.3843729892042611, 1.646740425633326}","{-0.30974178403755875, 1.5967904721050499}","{-0.29818030044997423, 1.6516065939355533}"
"{-0.6911963933078071, 1.4118053990967974}","{-0.6741006064292442, 1.498388482962156}","{-0.693474297562022, 1.5221592669383475}"
"{-0.38401871583357405, 1.6153036175748596}","{-0.31397963823663155, 1.5684275605590983}","{-0.30974178403755875, 1.5967904721050499}"
"{-0.8071812832761579, 1.512910802561358}","{-0.7837082200226181, 1.631790290390621}","{-0.8341804660563784, 1.7171385807721486}"
"{-0.38542411302452306, 1.7923157999578905}","{-0.2892603505162178, 1.7279540528989263}","{-0.29431937157192345, 1.8221345363610089}"
"{-0.3177072256183375, 1.9284316966701693}","{-0.426742530008767, 2.0014080483369097}","{-0.3993153271607837, 1.8924074200228447}"
"{-0.6475011715724324, 2.2831684498579135}","{-0.781212591631533, 2.256767398963512}","{-0.7364415114454529, 2.1210800543555783}"
"{-0.7333597570078083, 1.5669700007007046}","{-0.7540191505631533, 1.4623401707891457}","{-0.7116912132694645, 1.4298991921069564}"
"{-0.693474297562022, 1.5221592669383475}","{-0.7116912132694645, 1.4298991921069564}","{-0.6911963933078071, 1.4118053990967974}"
"{-0.781212591631533, 2.256767398963512}","{-0.8893736154603854, 2.18437595860525}","{-0.8463148569412223, 2.047543112832871}"
"{-0.8463148569412223, 2.047543112832871}","{-0.9198516483103973, 1.937669767337102}","{-0.8783387977681802, 1.8193963922797398}"
"{-0.3993153271607837, 1.8924074200228447}","{-0.29431937157192345, 1.8221345363610089}","{-0.3177072256183375, 1.9284316966701693}"
"{-0.7837082200226181, 1.631790290390621}","{-0.8071812832761579, 1.512910802561358}","{-0.7540191505631533, 1.4623401707891457}"
"{-0.8598094000977538, 1.5873404309496992}","{-0.8341804660563784, 1.7171385807721486}","{-0.8783387977681802, 1.8193963922797398}"
"{-1.0243949716931242, 1.7250660353307454}","{-1.0242409893850641, 1.6955765661873088}","{-0.9226955197748076, 1.6160149837120616}"
