"{-0.4667717630362841, 1.0724638711121717}","{-0.4077888087260967, 1.1360052577676139}","{-0.4015188108279065, 1.140093928170958}"
"{-0.05664527502748805, 1.2343407749784847}","{-0.19042216985277277, 1.2218003564429167}","{-0.189045846991796, 1.2076170107558468}"
"{-0.189045846991796, 1.2076170107558468}","{-0.05277216584884473, 1.2203915166984327}","{-0.05664527502748805, 1.2343407749784847}"
"{-0.19042216985277277, 1.2218003564429167}","{-0.31157069920364483, 1.1874029684362357}","{-0.31245519863003474, 1.1725784502222147}"
"{-0.31245519863003474, 1.1725784502222147}","{-0.189045846991796, 1.2076170107558468}","{-0.19042216985277277, 1.2218003564429167}"
"{-0.31157069920364483, 1.1874029684362357}","{-0.4077888087260967, 1.1360052577676139}","{-0.4104690595325736, 1.1202218514586666}"
"{-0.4104690595325736, 1.1202218514586666}","{-0.31245519863003474, 1.1725784502222147}","{-0.31157069920364483, 1.1874029684362357}"
"{-0.4077888087260967, 1.1360052577676139}","{-0.4667717630362841, 1.0724638711121717}","{-0.4705518121521985, 1.0554949897226207}"
"{-0.4705518121521985, 1.0554949897226207}","{-0.4104690595325736, 1.1202218514586666}","{-0.4077888087260967, 1.1360052577676139}"
"{-0.44856340971517994, 1.0554938903024988}","{-0.456926332108726, 0.9950795617359579}","{-0.4597904804971464, 1.0119340846919451}"
"{-0.4597904804971464, 1.0119340846919451}","{-0.4514112494224614, 1.0724631030864908}","{-0.44856340971517994, 1.0554938903024988}"
"{-0.456926332108726, 0.9950795617359579}","{-0.4175744212139416, 0.9462070665448217}","{-0.42036325571156186, 0.9629685002676561}"
"{-0.42036325571156186, 0.9629685002676561}","{-0.4597904804971464, 1.0119340846919451}","{-0.456926332108726, 0.9950795617359579}"
"{-0.4175744212139416, 0.9462070665448217}","{-0.33728010498142874, 0.9134944309973146}","{-0.3399160956817845, 0.9301933763370519}"
"{-0.3399160956817845, 0.9301933763370519}","{-0.42036325571156186, 0.9629685002676561}","{-0.4175744212139416, 0.9462070665448217}"
"{-0.33728010498142874, 0.9134944309973146}","{-0.22281581136178874, 0.9015596813616626}","{-0.22523462734727884, 0.9182357393788769}"
"{-0.22523462734727884, 0.9182357393788769}","{-0.3399160956817845, 0.9301933763370519}","{-0.33728010498142874, 0.9134944309973146}"
"{-0.4514112494224614, 1.0724631030864908}","{-0.4597904804971464, 1.0119340846919451}","{-0.4674951960629281, 1.0163882058552924}"
"{-0.4674951960629281, 1.0163882058552924}","{-0.4589326274780409, 1.078242063665344}","{-0.4514112494224614, 1.0724631030864908}"
"{-0.4597904804971464, 1.0119340846919451}","{-0.42036325571156186, 0.9629685002676561}","{-0.4272054383922027, 0.9663509839834822}"
"{-0.4272054383922027, 0.9663509839834822}","{-0.4674951960629281, 1.0163882058552924}","{-0.4597904804971464, 1.0119340846919451}"
"{-0.42036325571156186, 0.9629685002676561}","{-0.3399160956817845, 0.9301933763370519}","{-0.34499755610183885, 0.9328587355881889}"
"{-0.34499755610183885, 0.9328587355881889}","{-0.4272054383922027, 0.9663509839834822}","{-0.42036325571156186, 0.9629685002676561}"
"{-0.3399160956817845, 0.9301933763370519}","{-0.22523462734727884, 0.9182357393788769}","{-0.2278048523358396, 0.9206397981627638}"
"{-0.2278048523358396, 0.9206397981627638}","{-0.34499755610183885, 0.9328587355881889}","{-0.3399160956817845, 0.9301933763370519}"
